source,dest,month_code,qty,Unnamed: 4,Unnamed: 5,month
NDC_Changshu,RDC_Hefei2,Period_010,23877,,,10
NDC_Changshu,RDC_Shangqiu,Period_007,23850,,,7
NDC_Changshu,RDC_Jinzhou,Period_010,23637,,,10
NDC_Changshu,RDC_Chengdu,Period_006,23569,,,6
NDC_Changshu,RDC_Taizhou,Period_009,22860,,,9
NDC_Changshu,RDC_Jiaozuo,Period_011,22838,,,11
NDC_Changshu,RDC_Neijiang,Period_007,22692,,,7
NDC_Changshu,RDC_Linyi,Period_012,22686,,,12
NDC_Changshu,RDC_Mianyang,Period_008,22670,,,8
NDC_Changshu,RDC_Handan,Period_010,22582,,,10
NDC_Changshu,RDC_Huhehaote,Period_006,22559,,,6
NDC_Changshu,RDC_Guiyang,Period_010,22112,,,10
NDC_Changshu,RDC_Wuxi,Period_010,22068,,,10
NDC_Changshu,RDC_Dalian,Period_007,21920,,,7
NDC_Changshu,RDC_Yangzhou,Period_009,21889,,,9
NDC_Changshu,RDC_Taiyuan1,Period_007,21842,,,7
NDC_Changshu,RDC_Xian1,Period_006,21801,,,6
NDC_Changshu,RDC_Linyi,Period_011,21703,,,11
NDC_Changshu,RDC_Dalian,Period_008,21656,,,8
NDC_Changshu,RDC_Shanghai2,Period_005,21260,,,5
NDC_Changshu,RDC_Hefei2,Period_007,20826,,,7
NDC_Changshu,RDC_Wuxi,Period_008,20710,,,8
NDC_Changshu,RDC_Jiaozuo,Period_009,20579,,,9
NDC_Changshu,RDC_Ningbo,Period_008,20498,,,8
NDC_Changshu,RDC_Taiyuan1,Period_008,20339,,,8
NDC_Changshu,RDC_Kunming,Period_009,20280,,,9
NDC_Changshu,RDC_Taizhou,Period_010,19861,,,10
NDC_Changshu,RDC_Shanghai2,Period_007,19768,,,7
NDC_Changshu,RDC_Kunming,Period_011,19510,,,11
NDC_Changshu,RDC_Chengdu,Period_008,19489,,,8
NDC_Changshu,RDC_Maanshan,Period_010,19275,,,10
NDC_Changshu,RDC_Nanyang,Period_007,19157,,,7
NDC_Changshu,RDC_Nanjing,Period_008,18976,,,8
NDC_Changshu,RDC_Neijiang,Period_008,18877,,,8
NDC_Changshu,RDC_Nanjing,Period_007,18566,,,7
NDC_Changshu,RDC_Neijiang,Period_006,18413,,,6
NDC_Changshu,RDC_Ningbo,Period_006,18304,,,6
NDC_Changshu,RDC_Kunming,Period_010,18302,,,10
NDC_Changshu,RDC_Weifang,Period_007,18225,,,7
NDC_Changshu,RDC_Xian1,Period_007,18188,,,7
NDC_Changshu,RDC_Wuhan,Period_005,17990,,,5
